track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,explicit_track
Quantum Rain 2025,Origin Arc,Z. Ali,2/26/2021,UK4ZF2100069,2512,28.3,480737112.0,91401.0,37879799.0,66.0,55185277.0,280740.0,90700.0,11811407.0,149754997.0,0
Arctic Pulse 2025,Final Chapter,O. Dubois,12/1/2023,QMFMF2334329,1103,45.5,106290197.0,11766.0,9230911.0,70.0,139655492.0,229044.0,,7.0,245.0,1
Velvet Storm 2025,Origin Arc,M. Chen,7/7/2023,USUG12302091,2673,27.3,247056218.0,19231.0,16723973.0,69.0,41065721.0,1260603.0,139100.0,34732272.0,386594049.0,0
Violet Engine 2025,Open Sky,H. Andersson,9/29/2023,QZTPX2361588,2124,31.2,71190581.0,7887.0,3440542.0,70.0,127886162.0,447006.0,32200.0,607922.0,16097834.0,0
Iron Garden 2025,Legacy Cycle,T. Kim,6/29/2023,BCX5C2300009,3004,25.4,139669652.0,9634.0,9093959.0,39.0,138602281.0,827735.0,,,,0
Paper Kingdom 2025,Open Sky,Y. Tanaka,12/6/2023,QZHN22300206,718,57.1,4561175.0,1911.0,300718.0,,5599363.0,109997.0,1700000.0,1172078.0,16150470.0,0
Solar Drift 2025,Chronicles Saga,J. Martinez,3/28/2014,QMMZN1300568,4321,20.2,728140057.0,201363.0,35839296.0,74.0,251014567.0,3365976.0,197935.0,125260763.0,918538689.0,0
Broken Compass 2025,Open Sky,I. Hassan,2/23/2017,USWB11700237,624,61.0,1116304877.0,120975.0,28691304.0,66.0,2024330020.0,12350722.0,5384329.0,108811158.0,816827324.0,1
Jade Frequency 2025,Prime Story,L. Nakamura,10/20/2022,QZW9K2261810,4357,20.5,,10.0,359.0,7.0,,,,,,0
Parallel Lines 2025,Prime Story,Q. Jensen,10/21/2022,USUM72216687,1881,33.5,52106559.0,13612.0,2835147.0,61.0,70625059.0,637218.0,50210.0,9243349.0,81185287.0,0
Crimson Archive 2025,Final Chapter,Z. Ali,11/27/2020,QMFME2066843,3384,23.6,391087418.0,53386.0,13266439.0,66.0,367082304.0,2697123.0,6576.0,12303446.0,88351589.0,1
Hollow Crown 2025,Universe Zero,A. Volkov,5/15/2020,USDY42003198,3641,22.5,200520284.0,32859.0,6302679.0,64.0,477774248.0,3156383.0,619224.0,144110176.0,1255331962.0,0
Arctic Pulse 2025,Universe Zero,N. Fischer,2/6/2024,USSD12400017,2593,27.7,37814314.0,2461.0,22699959.0,,21688661.0,208161.0,202354.0,19478404.0,336367149.0,0
Silver Transit 2025,Universe Zero,W. Stone,2/24/2023,ZZOPM2342003,1479,38.1,3119521.0,560.0,10301672.0,30.0,436426901.0,1220159.0,,,,0
Electric Mirage 2025,Prime Story,H. Andersson,5/27/2022,USUM72208440,1769,34.6,225128269.0,23133.0,12193936.0,71.0,6417626.0,36749.0,19339.0,3634753.0,33305600.0,0
Feral Harmony 2025,Standalone,C. Wright,4/3/2024,USUM72403374,433,74.1,66836198.0,4228.0,57383746.0,77.0,43174948.0,552134.0,,,,1
Nova Protocol 2025,Dark Matter,G. Murphy,4/1/2022,ES71G2211486,2008,32.2,243125642.0,77523.0,7260157.0,74.0,173482368.0,821531.0,46000.0,6590357.0,70560340.0,0
Parallel Lines 2025,Dark Matter,Q. Jensen,10/28/2022,USRC12203917,3361,23.7,320296093.0,42685.0,19725874.0,76.0,27153913.0,493000.0,5300.0,4801108.0,38533990.0,0
Binary Sunset 2025,Dark Matter,J. Martinez,11/20/2020,USRN11900062,4235,20.5,177734775.0,25580.0,8683788.0,60.0,37838695.0,220814.0,22259.0,7070216.0,62353303.0,0
Lunar Cartography 2025,Prime Story,R. Silva,6/25/2021,USSD12100294,3460,23.2,293361823.0,61096.0,10057845.0,66.0,141862016.0,1051171.0,678500.0,156741590.0,1336043098.0,1
Velvet Storm 2025,Universe Zero,G. Murphy,2/10/2023,GX3Q92333626,52,200.3,104271.0,249.0,8585.0,25.0,2457026781.0,,190.0,36666.0,393580.0,0
Stone Butterfly 2025,Legacy Cycle,C. Wright,7/25/2022,QZMEM2268044,1397,39.7,2030.0,5.0,33.0,2.0,679269509.0,4540153.0,,,,0
Hollow Crown 2025,Final Chapter,M. Chen,5/26/2002,USIR10211066,2651,27.4,1958809069.0,282888.0,74055843.0,79.0,1463549979.0,10918289.0,41045.0,6151095.0,54356279.0,1
Binary Sunset 2025,Dark Matter,K. Olsen,12/21/2018,QZ45A1700093,2068,31.7,637055162.0,167409.0,20422800.0,77.0,138716504.0,1556410.0,10513.0,3916682.0,29554904.0,1
Thunder Archive 2025,Dark Matter,J. Martinez,4/17/2017,USUM71703825,284,91.5,1713294983.0,134700.0,39604784.0,65.0,2920155266.0,17308189.0,1323640.0,61011622.0,607999568.0,0
Northern Code 2025,Universe Zero,B. Carter,6/2/2022,THSOH2204284,1515,37.8,13219831.0,3136.0,395560.0,45.0,58017693.0,793077.0,4118069.0,292998461.0,3165914733.0,0
Deep Current 2025,Prime Story,T. Kim,11/13/2019,USQX91903309,2703,27.1,417311779.0,106485.0,11727622.0,61.0,325105642.0,5043313.0,475505.0,94185459.0,1001763796.0,1
Arctic Pulse 2025,Prime Story,R. Silva,8/31/2023,USSD12300381,1744,34.9,28210202.0,5046.0,2986473.0,,31452943.0,243718.0,823103.0,5145272.0,108989284.0,0
Electric Mirage 2025,Final Chapter,V. Popov,8/11/2023,SGB502390555,2172,30.8,39715603.0,13502.0,1974605.0,60.0,84439011.0,951441.0,466855.0,94227206.0,1032372538.0,0
Northern Code 2025,Final Chapter,E. Brooks,2/28/2023,SE5752322602,1416,39.2,2109876.0,1764.0,32374.0,33.0,435442321.0,3682385.0,,89.0,1239.0,1
Red Meridian 2025,Chronicles Saga,C. Wright,8/24/2023,USWB12304903,169,116.5,630373315.0,70400.0,105320547.0,84.0,50938569.0,246731.0,215433.0,70110809.0,586454750.0,0
Frozen Ledger 2025,Origin Arc,A. Volkov,2/1/2011,USJI11100017,3188,24.4,420074095.0,84668.0,21613334.0,65.0,571911363.0,3726047.0,247846.0,61579479.0,634498093.0,1
Desert Oracle 2025,Standalone,V. Popov,4/18/2024,USUG12401041,2304,29.8,122986507.0,2923.0,11950658.0,,6094390.0,70607.0,,272700.0,1800000.0,1
Iron Garden 2025,New Dawn,A. Volkov,11/20/2011,GBAHS1400099,3253,24.1,2502925593.0,212574.0,119020197.0,76.0,430771444.0,3399564.0,168386.0,63593438.0,548933681.0,0
Crystal Fault 2025,Legacy Cycle,K. Olsen,9/3/2021,USUM72119916,495,69.2,1502382072.0,240419.0,57503380.0,75.0,,,913200.0,449105708.0,4053240923.0,0
Golden Ratio 2025,New Dawn,L. Nakamura,3/17/2023,USUM72304040,3292,23.9,185448173.0,32140.0,17704359.0,66.0,64774453.0,486024.0,17536.0,2313721.0,19349275.0,1
Parallel Lines 2025,Chronicles Saga,R. Silva,7/31/2015,USUM71510633,2447,28.8,510138748.0,83010.0,18881944.0,70.0,486163241.0,3542793.0,44861.0,11918324.0,63978184.0,1
Glass Reactor 2025,New Dawn,B. Carter,3/28/2024,USWL12400693,2806,26.5,25813787.0,3297.0,10885827.0,68.0,27340680.0,205074.0,,,,1
Silver Transit 2025,Prime Story,N. Fischer,1/21/2022,USAT22200200,4119,20.9,53849840.0,27244.0,2184520.0,60.0,60416082.0,619963.0,23588.0,5255275.0,40727724.0,1
Electric Mirage 2025,Legacy Cycle,M. Chen,5/4/2023,QZXSR2300001,4109,21.0,113402349.0,14752.0,9813030.0,66.0,69436829.0,416921.0,34800.0,2064549.0,32900841.0,0
Kinetic Prayer 2025,Dark Matter,T. Kim,10/21/2022,USUG12205737,3139,24.6,429910250.0,32432.0,18417473.0,64.0,60531630.0,1025941.0,400127.0,49555205.0,380293826.0,1
