artist,region,market_size
A. Volkov,Americas,large
M. Chen,Asia-Pacific,large
S. Patel,Europe,large
E. Brooks,Americas,small
L. Nakamura,Americas,small
R. Silva,Latin America,large
K. Olsen,Americas,large
J. Martinez,Europe,large
T. Kim,Americas,small
N. Fischer,Europe,small
O. Dubois,Latin America,large
P. Singh,Latin America,small
H. Andersson,Asia-Pacific,large
C. Wright,Europe,small
D. Rossi,Latin America,medium
F. Nguyen,Asia-Pacific,large
G. Murphy,Europe,medium
I. Hassan,Americas,large
V. Popov,Latin America,large
Y. Tanaka,Asia-Pacific,medium
B. Carter,Asia-Pacific,large
Z. Ali,Latin America,small
Q. Jensen,Americas,medium
W. Stone,Americas,small
