IsTestSet	OBJECT	SAMPLE	IsHit	spotify_popularity	Artist	Track	Album_Name	Release_Date	ISRC	All_Time_Rank	Track_Score	Spotify_Streams	Spotify_Playlist_Count	Spotify_Playlist_Reach	YouTube_Views	YouTube_Likes	TikTok_Posts	TikTok_Likes	TikTok_Views	YouTube_Playlist_Reach	Apple_Music_Playlist_Count	AirPlay_Spins	SiriusXM_Spins	Deezer_Playlist_Count	Deezer_Playlist_Reach	Amazon_Playlist_Count	Pandora_Streams	Pandora_Track_Stations	Soundcloud_Streams	Shazam_Counts	TIDAL_Popularity	Explicit_Track	region	market_size	q_popularity	q_streams	q_track_score
True	obj1	valid	0	94	H. Andersson	Ember Valley	Origin Arc	29.01.2025	MV202500003	2194	82,2	1,936,522	13,331	73,051,758	429,493	14,038	1,435,856	37,392	67,131	9,984,625	442	321,425	14287	41	7,449,889	107	37,350,690	42,843	17,505,987	1,809,982	99	1	Asia-Pacific	large	4	0	3
True	obj2	valid	0	59	A. Volkov	Jade Frequency	New Dawn	29.09.2025	MV202500005	917	31	1,879,551	185,826	70,298,963	1,388,744	60,086	615,097	345,262	470,312	17,560,191	473	42,826	48599	20	7,606,021	153	6,419,573	47,528	16,494,107	1,325,283	87	0	Americas	large	2	0	0
True	obj3	valid	0	48	C. Wright	City of Glass 3	Prime Story	16.05.2025	MV202500008	4553	105,8	2,331,258	132,408	38,938,846	1,736,527	30,555	435,480	554,110	755,669	14,714,743	30	156,802	5014	143	9,193,871	106	2,843,978	50,782	25,540,276	342,606	6	0	Europe	small	1	1	4
True	obj4	valid	0	60	T. Kim	Carbon Dreams 2025	Universe Zero	11.10.2025	MV202500010	946	118,7	45,100,906	177,953	59,395,910	12,381,735	200,805	563,584	9,127,644	16,336,319	6,857,605	343	426,456	50540	75	9,081,590	10	31,714,222	82,934	1,322,602	1,667,782	13	0	Americas	small	2	4	4
True	obj5	valid	0	68	I. Hassan	Ocean of Stars	Open Sky	18.03.2025	MV202500011	1214	73,9	1,716,595	86,014	3,355,890	788,247	19,379	1,866,182	432,637	1,696,867	797,897	178	341,033	66693	106	5,598,835	174	48,691,851	74,947	27,772,914	1,183,686	16	0	Americas	large	2	0	2
True	obj6	valid	0	89	C. Wright	Iron Garden 2025	Legacy Cycle	08.10.2025	MV202500014	4752	86,1	1,601,441	121,371	25,786,715	1,081,443	29,925	1,351,286	157,139	413,477	15,874,707	479	367,980	65885	85	6,638,538	123	4,669,360	95,199	7,046,057	1,552,097	80	1	Europe	small	4	0	3
True	obj7	valid	0	45	E. Brooks	Crystal Fault	Standalone	11.09.2025	MV202500015	3483	108	13,349,800	43,846	64,330,747	4,668,954	176,656	929,153	704,811	1,945,797	18,349,400	60	66,669	46464	159	5,589,252	63	37,762,500	44,257	24,450,195	4,460,101	42	0	Americas	small	1	3	4
True	obj8	valid	0	89	J. Martinez	Arctic Pulse 2025	Open Sky	03.08.2025	MV202500017	4000	46,4	7,082,192	43,962	34,872,519	3,212,945	35,859	672,325	1,579,639	4,899,404	8,086,333	82	233,695	12762	186	269,664	78	28,219,599	2,710	19,282,489	678,497	46	1	Europe	large	4	3	1
True	obj9	valid	0	34	W. Stone	Arctic Pulse	Standalone	04.08.2025	MV202500018	4419	94,9	4,035,359	10,511	76,154,056	965,272	18,310	137,329	136,204	528,525	805,162	15	123,641	83922	186	2,385,449	94	5,719,472	94,775	13,951,019	1,281,218	36	0	Americas	small	0	1	3
True	obj10	valid	0	32	V. Popov	Final Orbit 2025	Chronicles Saga	12.07.2025	MV202500019	1990	75,8	10,088,196	20,470	61,800,745	3,505,555	154,285	1,200,863	2,192,712	3,374,483	19,676,887	391	173,601	42837	111	5,059,607	68	42,478,781	82,233	3,166,166	4,803,937	63	0	Latin America	large	0	3	2
True	obj11	valid	0	71	T. Kim	Blue Static 2025	Open Sky	05.09.2025	MV202500020	2641	116,4	10,777,823	170,357	66,460,174	4,296,636	57,860	1,763,274	2,688,668	5,062,271	9,294,169	305	189,494	2869	255	1,818,398	42	39,891,617	34,033	26,409,599	3,505,918	27	1	Americas	small	3	3	4
True	obj12	valid	0	73	N. Fischer	Carbon Dreams 2025	Legacy Cycle	09.01.2025	MV202500021	4765	87,5	12,140,367	73,867	44,282,301	1,454,294	34,539	1,993,263	901,579	2,471,307	7,036,210	226	153,311	23053	216	3,155,479	148	47,543,878	69,016	5,746,229	3,693,023	27	0	Europe	small	3	3	3
True	obj13	valid	0	93	M. Chen	Echo Chamber	Standalone	08.01.2025	MV202500022	4534	102,4	18,216,028	58,498	75,527,728	10,583,764	375,880	1,505,609	850,853	1,265,427	245,308	142	239,357	34070	289	2,524,783	172	5,704,357	6,534	14,752,396	2,885,105	68	1	Asia-Pacific	large	4	4	4
True	obj14	valid	0	88	T. Kim	Aurora Debt 2025	Universe Zero	12.04.2025	MV202500024	1166	97,7	4,083,696	14,374	13,282,163	1,506,288	33,596	1,497,940	685,746	1,915,823	5,772,211	62	344,338	69973	282	5,004,721	98	4,022,092	3,986	12,960,859	1,611,607	25	1	Americas	small	4	1	3
True	obj15	valid	0	94	R. Silva	Blue Static 2025	Prime Story	31.03.2025	MV202500025	4796	85,6	96,348,255	87,233	65,141,453	38,816,362	1,892,771	940,073	19,167,305	44,916,176	6,421,165	52	80,412	41164	148	6,625,835	80	38,024,988	3,669	2,641,793	1,261,994	11	0	Latin America	large	4	4	3
True	obj16	valid	0	51	D. Rossi	Lunar Cartography 2025	Prime Story	15.04.2025	MV202500026	3971	80,4	4,995,929	24,373	77,852,013	1,250,441	42,958	478,670	239,773	394,057	11,016,780	276	46,604	99225	273	4,614,478	23	41,607,158	49,837	21,498,099	2,544,360	27	0	Latin America	medium	1	2	3
True	obj17	valid	0	87	A. Volkov	Broken Compass 2025	Prime Story	01.08.2025	MV202500027	2318	68,4	6,305,558	145,237	66,999,699	1,922,605	63,824	1,319,915	1,503,484	5,446,716	8,930,947	242	166,219	76287	113	9,328,522	173	49,038,731	23,880	11,489,125	4,280,064	41	0	Americas	large	4	2	2
True	obj18	valid	0	39	E. Brooks	Carbon Dreams 2025	Origin Arc	19.01.2025	MV202500028	3607	118,8	2,990,426	20,032	72,836,229	432,668	4,592	288,396	867,081	3,154,971	19,399,135	37	390,762	26502	186	3,974,833	16	16,428,279	67,435	16,008,669	4,770,697	62	0	Americas	small	0	1	4
True	obj19	valid	0	60	D. Rossi	Electric Mirage 2025	Chronicles Saga	16.02.2025	MV202500029	1363	39,7	5,129,131	138,830	72,274,890	1,925,878	22,801	1,592,307	197,720	399,677	7,496,821	72	265,583	56592	237	1,699,836	15	43,541,979	61,971	7,224,893	4,564,145	14	0	Latin America	medium	2	2	1
True	obj20	valid	0	86	B. Carter	Paper Kingdom 2025	Universe Zero	22.11.2025	MV202500031	796	96,5	85,818,641	180,690	51,710,785	16,528,583	369,534	881,702	7,095,637	20,029,611	14,647,195	45	147,555	74748	52	1,321,597	107	48,574,479	53,085	27,404,609	4,152,363	25	0	Asia-Pacific	large	4	4	3
True	obj21	valid	0	72	P. Singh	Ocean of Stars 2025 2	Dark Matter	13.12.2025	MV202500032	740	50,6	4,515,308	158,157	1,123,353	2,678,311	84,267	909,626	1,328,327	4,096,453	13,446,815	292	411,208	94029	32	2,338,219	5	44,211,742	56,140	27,457,677	1,106,836	6	0	Latin America	small	3	2	1
True	obj22	valid	0	41	D. Rossi	Winter Echo 2025	Final Chapter	19.02.2025	MV202500033	3040	29,7	16,306,969	134,130	59,453,778	3,687,006	176,382	838,311	2,705,138	8,868,397	3,090,458	207	49,510	48934	122	9,515,215	6	18,526,497	44,338	28,516,655	4,277,250	9	0	Latin America	medium	0	4	0
True	obj23	valid	1	37	A. Volkov	Velvet Storm 2025	Open Sky	21.08.2025	MV202500034	415	56,8	237,817,587	157,380	19,493,076	28,242,043	424,674	1,129,199	17,006,498	23,674,889	15,303,147	103	107,975	86969	98	1,475,541	180	141,777	85,840	4,340,639	649,960	25	1	Americas	large	0	4	1
True	obj24	valid	0	68	S. Patel	Ocean of Stars 2025	Origin Arc	29.03.2025	MV202500040	3578	58,9	7,535,405	168,912	19,472,884	4,905,485	164,602	1,047,972	1,426,123	3,291,701	6,205,491	169	166,534	16813	153	1,140,266	101	45,296,136	34,937	21,821,373	4,094,743	81	1	Europe	large	2	3	1
True	obj25	valid	0	59	D. Rossi	Carbon Dreams	Open Sky	18.11.2025	MV202500041	4625	94,8	2,347,470	128,634	78,922,690	987,317	22,637	1,941,949	537,075	1,119,902	8,795,256	234	315,692	79632	177	3,519,422	14	23,087,124	3,760	11,062,127	1,435,385	64	0	Latin America	medium	2	1	3
True	obj26	valid	0	39	G. Murphy	Infinite Margin 2025	New Dawn	20.10.2025	MV202500042	1236	75,9	802,374	191,548	36,047,343	432,381	18,349	1,674,770	82,839	327,270	1,686,582	323	19,571	70762	297	5,240,685	121	18,194,897	91,793	11,622,496	3,872,323	67	1	Europe	medium	0	0	2
True	obj27	valid	0	34	O. Dubois	Arctic Pulse	Universe Zero	03.12.2025	MV202500043	668	73,6	7,812,402	116,589	11,322,856	6,041,389	144,950	1,935,396	1,443,600	4,555,631	7,839,159	297	469,001	30958	113	7,916,619	162	33,505,819	82,895	22,163,240	3,427,072	52	0	Latin America	large	0	3	2
True	obj28	valid	0	37	N. Fischer	Northern Code 2025	Chronicles Saga	09.04.2025	MV202500044	829	33,9	4,297,361	101,587	43,186,262	945,020	37,371	1,053,110	214,412	654,686	17,527,855	309	298,623	15425	54	6,928,456	124	45,132,799	72,118	1,310,772	1,821,497	71	0	Europe	small	0	2	0
True	obj29	valid	0	75	D. Rossi	Solar Drift 2025	Open Sky	29.08.2025	MV202500045	3783	39,6	12,520,422	153,910	62,252,141	9,114,626	274,498	837,379	829,661	1,372,062	3,993,954	302	436,500	5217	144	3,712,121	186	35,570,048	51,590	3,740,333	419,375	16	0	Latin America	medium	3	3	1
True	obj30	valid	0	38	L. Nakamura	Shadow Circuit 2025	Origin Arc	03.12.2025	MV202500048	364	93,5	1,322,550	70,524	27,090,395	689,303	24,616	1,660,784	309,126	963,580	19,616,383	239	91,138	13485	214	9,436,051	7	10,079,549	79,110	26,573,711	1,577,979	31	0	Americas	small	0	0	3
True	obj31	valid	0	67	S. Patel	Winter Echo 2025	Standalone	11.11.2025	MV202500050	3328	51,9	7,552,934	72,725	64,089,667	6,031,870	224,243	1,905,583	676,901	1,082,894	12,151,458	390	17,399	6723	233	3,663,284	76	28,362,232	60,509	20,371,861	4,744,117	37	0	Europe	large	2	3	1
True	obj32	valid	0	74	Q. Jensen	Obsidian Heart 2025 2	Origin Arc	23.09.2025	MV202500053	1848	28,5	6,816,541	69,270	75,272,915	1,123,104	51,434	1,691,882	393,659	748,619	12,701,141	275	62,585	30282	160	5,025,731	33	47,080,349	15,419	19,761,986	3,603,163	60	0	Americas	medium	3	2	0
True	obj33	valid	0	33	J. Martinez	Blue Static 2025 2	Final Chapter	29.05.2025	MV202500055	1309	64	3,086,902	162,714	74,700,785	2,343,077	91,017	379,749	804,469	1,324,283	19,919,388	233	439,537	49737	27	3,932,421	91	12,036,432	58,334	1,459,743	1,406,781	59	0	Europe	large	0	1	2
True	obj34	valid	0	69	N. Fischer	Feral Harmony	Prime Story	07.05.2025	MV202500059	1699	82,5	1,613,692	138,078	39,125,356	418,357	12,212	1,121,019	155,825	594,715	14,433,287	143	286,738	54319	268	3,945,324	69	38,653,216	14,647	1,261,994	4,776,568	7	0	Europe	small	2	0	3
True	obj35	valid	0	41	J. Martinez	Glass Reactor 2025	Open Sky	24.11.2025	MV202500063	1796	67,8	1,906,336	191,476	38,259,770	1,405,156	39,624	1,977,677	182,171	409,183	14,038,814	456	378,675	80199	247	7,618,596	136	29,790,723	78,737	15,765,199	2,640,865	36	0	Europe	large	0	0	2
True	obj36	valid	0	53	M. Chen	Silver Transit 2025	New Dawn	26.10.2025	MV202500064	3715	32,3	13,976,977	26,475	33,239,811	5,823,101	189,579	1,117,638	3,783,258	11,666,620	6,163,391	10	127,228	301	65	730,295	84	35,019,243	54,116	1,807,668	4,471,092	98	0	Asia-Pacific	large	1	4	0
True	obj37	valid	0	89	J. Martinez	Ocean of Stars	Standalone	11.11.2025	MV202500066	1689	91,1	3,609,986	13,551	47,519,592	2,254,581	62,807	1,344,080	961,301	3,501,245	4,894,683	22	219,481	53975	226	7,760,636	28	49,674,172	23,416	27,491,910	2,880,551	57	0	Europe	large	4	1	3
True	obj38	valid	0	83	B. Carter	Silver Transit	Universe Zero	01.02.2025	MV202500067	3500	118,5	11,844,055	111,214	3,760,258	5,537,552	131,664	1,286,667	2,150,684	4,876,101	10,489,261	348	204,129	29988	55	5,379,282	48	11,267,227	85,754	4,330,552	2,315,125	5	0	Asia-Pacific	large	4	3	4
True	obj39	valid	0	39	M. Chen	Golden Ratio 2025	Legacy Cycle	09.07.2025	MV202500068	2200	41,8	3,854,606	75,495	48,401,506	460,039	5,328	145,661	848,512	2,929,930	11,751,673	335	108,508	20888	272	3,031,880	181	10,590,388	19,002	22,244,256	3,734,396	75	0	Asia-Pacific	large	0	1	1
True	obj40	valid	0	40	G. Murphy	White Noise 2025	Origin Arc	01.10.2025	MV202500069	4074	40,1	18,740,481	93,254	64,227,301	10,055,036	391,106	1,523,281	1,863,599	3,907,320	4,062,549	156	22,857	86408	222	162,199	110	29,201,594	72,001	8,855,768	980,958	23	0	Europe	medium	0	4	1
True	obj41	valid	0	60	I. Hassan	Lunar Cartography	Prime Story	30.07.2025	MV202500071	2349	65,7	10,504,035	3,526	65,054,446	618,563	22,862	1,612,354	1,717,736	6,436,984	2,140,328	48	74,448	19193	157	8,152,143	53	19,844,821	37,305	12,180,822	2,825,010	99	1	Americas	large	2	3	2
True	obj42	valid	0	63	Q. Jensen	Jade Frequency	Standalone	13.07.2025	MV202500072	1404	105,1	52,845,411	16,628	67,627,930	24,548,071	878,729	662,608	1,388,425	5,465,565	19,476,794	447	459,576	22976	270	6,922,877	113	13,554,752	92,415	20,532,862	1,401,865	54	0	Americas	medium	2	4	4
